Year,state,coc_number,coc_name,measures,count
2007-01-01,TX,TX-600,Dallas City & County/Irving CoC,Unsheltered Homeless People in Families,4
2007-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Chronically Homeless Individuals,479
2007-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Homeless Individuals,"1,550"
2007-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Homeless People in Families,"1,326"
2007-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Sheltered Chronically Homeless Individuals,392
2007-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Sheltered Homeless,"2,675"
2007-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Sheltered Homeless Individuals,"1,349"
2007-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Sheltered Homeless People in Families,"1,326"
2007-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Total Homeless,"2,876"
2007-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Unsheltered Chronically Homeless Individuals,87
2007-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Unsheltered Homeless,201
2007-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Unsheltered Homeless Individuals,201
2007-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Unsheltered Homeless People in Families,0
2007-01-01,TX,TX-603,El Paso City & County CoC,Chronically Homeless Individuals,208
2007-01-01,TX,TX-603,El Paso City & County CoC,Homeless Individuals,804
2007-01-01,TX,TX-603,El Paso City & County CoC,Homeless People in Families,437
2007-01-01,TX,TX-603,El Paso City & County CoC,Sheltered Chronically Homeless Individuals,72
2007-01-01,TX,TX-603,El Paso City & County CoC,Sheltered Homeless,968
2007-01-01,TX,TX-603,El Paso City & County CoC,Sheltered Homeless Individuals,531
2007-01-01,TX,TX-603,El Paso City & County CoC,Sheltered Homeless People in Families,437
2007-01-01,TX,TX-603,El Paso City & County CoC,Total Homeless,"1,241"
2007-01-01,TX,TX-603,El Paso City & County CoC,Unsheltered Chronically Homeless Individuals,136
2007-01-01,TX,TX-603,El Paso City & County CoC,Unsheltered Homeless,273
2007-01-01,TX,TX-603,El Paso City & County CoC,Unsheltered Homeless Individuals,273
2007-01-01,TX,TX-603,El Paso City & County CoC,Unsheltered Homeless People in Families,0
2007-01-01,TX,TX-604,Waco/McLennan County CoC,Chronically Homeless Individuals,70
2007-01-01,TX,TX-604,Waco/McLennan County CoC,Homeless Individuals,321
2007-01-01,TX,TX-604,Waco/McLennan County CoC,Homeless People in Families,110
2007-01-01,TX,TX-604,Waco/McLennan County CoC,Sheltered Chronically Homeless Individuals,32
2007-01-01,TX,TX-604,Waco/McLennan County CoC,Sheltered Homeless,259
2007-01-01,TX,TX-604,Waco/McLennan County CoC,Sheltered Homeless Individuals,176
2007-01-01,TX,TX-604,Waco/McLennan County CoC,Sheltered Homeless People in Families,83
2007-01-01,TX,TX-604,Waco/McLennan County CoC,Total Homeless,431
2007-01-01,TX,TX-604,Waco/McLennan County CoC,Unsheltered Chronically Homeless Individuals,38
2007-01-01,TX,TX-604,Waco/McLennan County CoC,Unsheltered Homeless,172
2007-01-01,TX,TX-604,Waco/McLennan County CoC,Unsheltered Homeless Individuals,145
2007-01-01,TX,TX-604,Waco/McLennan County CoC,Unsheltered Homeless People in Families,27
2007-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Chronically Homeless Individuals,"1,990"
2007-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Homeless Individuals,"8,406"
2007-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Homeless People in Families,"4,552"
2007-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Sheltered Chronically Homeless Individuals,978
2007-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Sheltered Homeless,"6,998"
2007-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Sheltered Homeless Individuals,"4,385"
2007-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Sheltered Homeless People in Families,"2,613"
2007-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Total Homeless,"12,958"
2007-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Unsheltered Chronically Homeless Individuals,"1,012"
2007-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Unsheltered Homeless,"5,960"
2007-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Unsheltered Homeless Individuals,"4,021"
2007-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Unsheltered Homeless People in Families,"1,939"
2007-01-01,TX,TX-611,Amarillo CoC,Chronically Homeless Individuals,75
2007-01-01,TX,TX-611,Amarillo CoC,Homeless Individuals,258
2007-01-01,TX,TX-611,Amarillo CoC,Homeless People in Families,173
2007-01-01,TX,TX-611,Amarillo CoC,Sheltered Chronically Homeless Individuals,53
2007-01-01,TX,TX-611,Amarillo CoC,Sheltered Homeless,298
2007-01-01,TX,TX-611,Amarillo CoC,Sheltered Homeless Individuals,136
2007-01-01,TX,TX-611,Amarillo CoC,Sheltered Homeless People in Families,162
2007-01-01,TX,TX-611,Amarillo CoC,Total Homeless,431
2007-01-01,TX,TX-611,Amarillo CoC,Unsheltered Chronically Homeless Individuals,22
2007-01-01,TX,TX-611,Amarillo CoC,Unsheltered Homeless,133
2007-01-01,TX,TX-611,Amarillo CoC,Unsheltered Homeless Individuals,122
2007-01-01,TX,TX-611,Amarillo CoC,Unsheltered Homeless People in Families,11
2007-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Chronically Homeless Individuals,207
2007-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Homeless Individuals,223
2007-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Homeless People in Families,40
2007-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Sheltered Chronically Homeless Individuals,158
2007-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Sheltered Homeless,214
2007-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Sheltered Homeless Individuals,174
2007-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Sheltered Homeless People in Families,40
2007-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Total Homeless,263
2007-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Unsheltered Chronically Homeless Individuals,49
2007-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Unsheltered Homeless,49
2007-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Unsheltered Homeless Individuals,49
2007-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Unsheltered Homeless People in Families,0
2007-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Chronically Homeless Individuals,"3,627"
2007-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Homeless Individuals,"8,054"
2007-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Homeless People in Families,"2,309"
2007-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Sheltered Chronically Homeless Individuals,906
2007-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Sheltered Homeless,"5,017"
2007-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Sheltered Homeless Individuals,"2,860"
2007-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Sheltered Homeless People in Families,"2,157"
2007-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Total Homeless,"10,363"
2007-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Unsheltered Chronically Homeless Individuals,"2,721"
2007-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Unsheltered Homeless,"5,346"
2007-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Unsheltered Homeless Individuals,"5,194"
2007-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Unsheltered Homeless People in Families,152
2007-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Chronically Homeless Individuals,40
2007-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Homeless Individuals,153
2007-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Homeless People in Families,136
2007-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Sheltered Chronically Homeless Individuals,39
2007-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Sheltered Homeless,219
2007-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Sheltered Homeless Individuals,107
2007-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Sheltered Homeless People in Families,112
2007-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Total Homeless,289
2007-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Unsheltered Chronically Homeless Individuals,1
2007-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Unsheltered Homeless,70
2007-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Unsheltered Homeless Individuals,46
2007-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Unsheltered Homeless People in Families,24
2008-01-01,TX,TX-500,San Antonio/Bexar County CoC,Chronically Homeless Individuals,520
2008-01-01,TX,TX-500,San Antonio/Bexar County CoC,Homeless Individuals,"2,797"
2008-01-01,TX,TX-500,San Antonio/Bexar County CoC,Homeless People in Families,"1,266"
2008-01-01,TX,TX-500,San Antonio/Bexar County CoC,Sheltered Chronically Homeless Individuals,195
2008-01-01,TX,TX-500,San Antonio/Bexar County CoC,Sheltered Homeless,"2,518"
2008-01-01,TX,TX-500,San Antonio/Bexar County CoC,Sheltered Homeless Individuals,"1,363"
2008-01-01,TX,TX-500,San Antonio/Bexar County CoC,Sheltered Homeless People in Families,"1,155"
2008-01-01,TX,TX-500,San Antonio/Bexar County CoC,Total Homeless,"4,063"
2008-01-01,TX,TX-500,San Antonio/Bexar County CoC,Unsheltered Chronically Homeless Individuals,325
2008-01-01,TX,TX-500,San Antonio/Bexar County CoC,Unsheltered Homeless,"1,545"
2008-01-01,TX,TX-500,San Antonio/Bexar County CoC,Unsheltered Homeless Individuals,"1,434"
2008-01-01,TX,TX-500,San Antonio/Bexar County CoC,Unsheltered Homeless People in Families,111
2008-01-01,TX,TX-503,Austin/Travis County CoC,Chronically Homeless Individuals,919
2008-01-01,TX,TX-503,Austin/Travis County CoC,Homeless Individuals,"2,881"
2008-01-01,TX,TX-503,Austin/Travis County CoC,Homeless People in Families,570
2008-01-01,TX,TX-503,Austin/Travis County CoC,Sheltered Chronically Homeless Individuals,242
2008-01-01,TX,TX-503,Austin/Travis County CoC,Sheltered Homeless,"1,305"
2008-01-01,TX,TX-503,Austin/Travis County CoC,Sheltered Homeless Individuals,765
2008-01-01,TX,TX-503,Austin/Travis County CoC,Sheltered Homeless People in Families,540
2008-01-01,TX,TX-503,Austin/Travis County CoC,Total Homeless,"3,451"
2008-01-01,TX,TX-503,Austin/Travis County CoC,Unsheltered Chronically Homeless Individuals,677
2008-01-01,TX,TX-503,Austin/Travis County CoC,Unsheltered Homeless,"2,146"
2008-01-01,TX,TX-503,Austin/Travis County CoC,Unsheltered Homeless Individuals,"2,116"
2008-01-01,TX,TX-503,Austin/Travis County CoC,Unsheltered Homeless People in Families,30
2008-01-01,TX,TX-600,Dallas City & County/Irving CoC,Chronically Homeless Individuals,620
2008-01-01,TX,TX-600,Dallas City & County/Irving CoC,Homeless Individuals,"2,286"
2008-01-01,TX,TX-600,Dallas City & County/Irving CoC,Homeless People in Families,"1,272"
2008-01-01,TX,TX-600,Dallas City & County/Irving CoC,Sheltered Chronically Homeless Individuals,522
2008-01-01,TX,TX-600,Dallas City & County/Irving CoC,Sheltered Homeless,"3,345"
2008-01-01,TX,TX-600,Dallas City & County/Irving CoC,Sheltered Homeless Individuals,"2,073"
2008-01-01,TX,TX-600,Dallas City & County/Irving CoC,Sheltered Homeless People in Families,"1,272"
2008-01-01,TX,TX-600,Dallas City & County/Irving CoC,Total Homeless,"3,558"
2008-01-01,TX,TX-600,Dallas City & County/Irving CoC,Unsheltered Chronically Homeless Individuals,98
2008-01-01,TX,TX-600,Dallas City & County/Irving CoC,Unsheltered Homeless,213
2008-01-01,TX,TX-600,Dallas City & County/Irving CoC,Unsheltered Homeless Individuals,213
2008-01-01,TX,TX-600,Dallas City & County/Irving CoC,Unsheltered Homeless People in Families,0
2008-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Chronically Homeless Individuals,519
2008-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Homeless Individuals,"1,442"
2008-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Homeless People in Families,"1,234"
2008-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Sheltered Chronically Homeless Individuals,426
2008-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Sheltered Homeless,"2,473"
2008-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Sheltered Homeless Individuals,"1,239"
2008-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Sheltered Homeless People in Families,"1,234"
2008-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Total Homeless,"2,676"
2008-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Unsheltered Chronically Homeless Individuals,93
2008-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Unsheltered Homeless,203
2008-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Unsheltered Homeless Individuals,203
2008-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Unsheltered Homeless People in Families,0
2008-01-01,TX,TX-603,El Paso City & County CoC,Chronically Homeless Individuals,208
2008-01-01,TX,TX-603,El Paso City & County CoC,Homeless Individuals,804
2008-01-01,TX,TX-603,El Paso City & County CoC,Homeless People in Families,437
2008-01-01,TX,TX-603,El Paso City & County CoC,Sheltered Chronically Homeless Individuals,72
2008-01-01,TX,TX-603,El Paso City & County CoC,Sheltered Homeless,968
2008-01-01,TX,TX-603,El Paso City & County CoC,Sheltered Homeless Individuals,531
2008-01-01,TX,TX-603,El Paso City & County CoC,Sheltered Homeless People in Families,437
2008-01-01,TX,TX-603,El Paso City & County CoC,Total Homeless,"1,241"
2008-01-01,TX,TX-603,El Paso City & County CoC,Unsheltered Chronically Homeless Individuals,136
2008-01-01,TX,TX-603,El Paso City & County CoC,Unsheltered Homeless,273
2008-01-01,TX,TX-603,El Paso City & County CoC,Unsheltered Homeless Individuals,273
2008-01-01,TX,TX-603,El Paso City & County CoC,Unsheltered Homeless People in Families,0
2008-01-01,TX,TX-604,Waco/McLennan County CoC,Chronically Homeless Individuals,70
2008-01-01,TX,TX-604,Waco/McLennan County CoC,Homeless Individuals,321
2008-01-01,TX,TX-604,Waco/McLennan County CoC,Homeless People in Families,110
2008-01-01,TX,TX-604,Waco/McLennan County CoC,Sheltered Chronically Homeless Individuals,32
2008-01-01,TX,TX-604,Waco/McLennan County CoC,Sheltered Homeless,259
2008-01-01,TX,TX-604,Waco/McLennan County CoC,Sheltered Homeless Individuals,176
2008-01-01,TX,TX-604,Waco/McLennan County CoC,Sheltered Homeless People in Families,83
2008-01-01,TX,TX-604,Waco/McLennan County CoC,Total Homeless,431
2008-01-01,TX,TX-604,Waco/McLennan County CoC,Unsheltered Chronically Homeless Individuals,38
2008-01-01,TX,TX-604,Waco/McLennan County CoC,Unsheltered Homeless,172
2008-01-01,TX,TX-604,Waco/McLennan County CoC,Unsheltered Homeless Individuals,145
2008-01-01,TX,TX-604,Waco/McLennan County CoC,Unsheltered Homeless People in Families,27
2008-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Chronically Homeless Individuals,"2,070"
2008-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Homeless Individuals,"8,628"
2008-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Homeless People in Families,"4,670"
2008-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Sheltered Chronically Homeless Individuals,"1,032"
2008-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Sheltered Homeless,"7,259"
2008-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Sheltered Homeless Individuals,"4,500"
2008-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Sheltered Homeless People in Families,"2,759"
2008-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Total Homeless,"13,298"
2008-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Unsheltered Chronically Homeless Individuals,"1,038"
2008-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Unsheltered Homeless,"6,039"
2008-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Unsheltered Homeless Individuals,"4,128"
2008-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Unsheltered Homeless People in Families,"1,911"
2008-01-01,TX,TX-611,Amarillo CoC,Chronically Homeless Individuals,45
2008-01-01,TX,TX-611,Amarillo CoC,Homeless Individuals,351
2008-01-01,TX,TX-611,Amarillo CoC,Homeless People in Families,189
2008-01-01,TX,TX-611,Amarillo CoC,Sheltered Chronically Homeless Individuals,33
2008-01-01,TX,TX-611,Amarillo CoC,Sheltered Homeless,486
2008-01-01,TX,TX-611,Amarillo CoC,Sheltered Homeless Individuals,297
2008-01-01,TX,TX-611,Amarillo CoC,Sheltered Homeless People in Families,189
2008-01-01,TX,TX-611,Amarillo CoC,Total Homeless,540
2008-01-01,TX,TX-611,Amarillo CoC,Unsheltered Chronically Homeless Individuals,12
2008-01-01,TX,TX-611,Amarillo CoC,Unsheltered Homeless,54
2008-01-01,TX,TX-611,Amarillo CoC,Unsheltered Homeless Individuals,54
2008-01-01,TX,TX-611,Amarillo CoC,Unsheltered Homeless People in Families,0
2008-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Chronically Homeless Individuals,206
2008-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Homeless Individuals,233
2008-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Homeless People in Families,47
2008-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Sheltered Chronically Homeless Individuals,157
2008-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Sheltered Homeless,231
2008-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Sheltered Homeless Individuals,184
2008-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Sheltered Homeless People in Families,47
2008-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Total Homeless,280
2008-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Unsheltered Chronically Homeless Individuals,49
2008-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Unsheltered Homeless,49
2008-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Unsheltered Homeless Individuals,49
2008-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Unsheltered Homeless People in Families,0
2008-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Chronically Homeless Individuals,"3,627"
2008-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Homeless Individuals,"8,054"
2008-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Homeless People in Families,"2,309"
2008-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Sheltered Chronically Homeless Individuals,906
2008-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Sheltered Homeless,"5,017"
2008-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Sheltered Homeless Individuals,"2,860"
2008-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Sheltered Homeless People in Families,"2,157"
2008-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Total Homeless,"10,363"
2008-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Unsheltered Chronically Homeless Individuals,"2,721"
2008-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Unsheltered Homeless,"5,346"
2008-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Unsheltered Homeless Individuals,"5,194"
2008-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Unsheltered Homeless People in Families,152
2008-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Chronically Homeless Individuals,40
2008-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Homeless Individuals,153
2008-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Homeless People in Families,136
2008-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Sheltered Chronically Homeless Individuals,39
2008-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Sheltered Homeless,219
2008-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Sheltered Homeless Individuals,107
2008-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Sheltered Homeless People in Families,112
2008-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Total Homeless,289
2008-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Unsheltered Chronically Homeless Individuals,1
2008-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Unsheltered Homeless,70
2008-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Unsheltered Homeless Individuals,46
2008-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Unsheltered Homeless People in Families,24
2009-01-01,TX,TX-500,San Antonio/Bexar County CoC,Chronically Homeless Individuals,612
2009-01-01,TX,TX-500,San Antonio/Bexar County CoC,Homeless Individuals,"1,906"
2009-01-01,TX,TX-500,San Antonio/Bexar County CoC,Homeless People in Families,784
2009-01-01,TX,TX-500,San Antonio/Bexar County CoC,Sheltered Chronically Homeless Individuals,298
2009-01-01,TX,TX-500,San Antonio/Bexar County CoC,Sheltered Homeless,"1,583"
2009-01-01,TX,TX-500,San Antonio/Bexar County CoC,Sheltered Homeless Individuals,830
2009-01-01,TX,TX-500,San Antonio/Bexar County CoC,Sheltered Homeless People in Families,753
2009-01-01,TX,TX-500,San Antonio/Bexar County CoC,Total Homeless,"2,690"
2009-01-01,TX,TX-500,San Antonio/Bexar County CoC,Unsheltered Chronically Homeless Individuals,314
2009-01-01,TX,TX-500,San Antonio/Bexar County CoC,Unsheltered Homeless,"1,107"
2009-01-01,TX,TX-500,San Antonio/Bexar County CoC,Unsheltered Homeless Individuals,"1,076"
2009-01-01,TX,TX-500,San Antonio/Bexar County CoC,Unsheltered Homeless People in Families,31
2009-01-01,TX,TX-503,Austin/Travis County CoC,Chronically Homeless Individuals,529
2009-01-01,TX,TX-503,Austin/Travis County CoC,Homeless Individuals,"1,978"
