Year (CY),Type,Source,Summary,Recommendation/Resolution,Implementing Department,Action Category,Direct/Indirect?,Targeted at Homelessness?,Actionable?,Status of the Recommendation/Resolution 
2002,OCA Audit,S.M.A.R.T. Housing Audit,,"To ensure service administration consistency and continuity of the S.M.A.R.T. Housing service, the Community Development Officer should direct the S.M.A.R.T. Housing staff to develop and document written internal policies and procedures for S.M.A.R.T. Housing.",NHCD,Recommendations for process improvements,Indirect,No,,
2002,OCA Audit,S.M.A.R.T. Housing Audit,,"To achieve policy objectives and avoid project disqualification on technicalities, S.M.A.R.T. Housing staff should:
- revise affordability and transit-oriented criteria to be more flexible and
- develop and implement a matrix to evaluate a project's eligibility for program participation according to its contribution to S.M.A.R.T. Housing objectives.",NHCD,Preserving and expanding the supply of affordable housing,Indirect,No,,
2002,OCA Audit,S.M.A.R.T. Housing Audit,,"To assist developers in the making an informed decision about participation in the service, S.M.A.R.T. Housing staff and the NHCD Public Information Officer should revise S.M.A.R.T. Housing guidelines (the Guide) to include clear descriptions of mutual expectations with regards to processes and products, maximum benefits of fee types eligible for waiver, timeliness expectations, and other rules and requirements. ",NHCD,Preserving and expanding the supply of affordable housing,Indirect,No,,
2002,OCA Audit,S.M.A.R.T. Housing Audit,,"To get maximum value from periodic reports, S.M.A.R.T. Housing staff should confer with management, Council and citizens on their information needs and customize reports accordingly; reports should include measures and tables that clearly reflect service activities. ",NHCD,Monitoring,Indirect,No,,
2002,OCA Audit,Cultural Arts Funding Process Audit,,"The City Council should utilize the expertise of the consultant currently working on arts funding and governance structures to:
- assess possible funding models or frameworks for funding the creative/cultural arts in Austin, determine the model that is the best fit for Austin, and provide the means to implement the chosen model, and,
derive a short-term solution for funding the arts in fiscal year 2004 while the long-term solution is being implemented. ", Council ,Preserving and growing small businesses and cultural assets,Indirect,No,,
2002,OCA Audit,Cultural Arts Funding Process Audit,,"Whether the City Council decides to keep the current structure of the Arts Commission or chooses to use another structure, the Council should direct the City Manager to draft a resolution or revised ordinance that includes the following issues as appropriate. 
a) Council's funding policy priorities and a mechanism for periodic review of the policy priorities.
b) A mechanism that distributes available funds among policy priorities.
c) A single appeals mechanism, as in the existing ordinance, which includes measures to uphold its integrity, such as limiting recourse seeking more money.
d) A strict conflict-of-interest policy including a document that all parties to the funding process sign, which indicates their understanding of the policy. Refer alleged violations to an authority, such as the Ethics Commission.
e) Contracting criteria that are congruent with policy priorities and City purchasing standards.
f) A standard model for advocating for changes to the application guidelines, such as 30-day advance publication, comment periods, or final approval.", Council ,Recommendations for process improvements,Indirect,No,,
2002,OCA Audit,Cultural Arts Funding Process Audit,,The City Council should encourage and fund facilitation sessions to assist the new or reorganized arts organization for allocating funding to the arts and its leaders and volunteers on effective communication and managing the new processes.,Council ,Preserving and growing small businesses and cultural assets,Indirect,No,,
2002,Task Force,Gentrification Implications of Historic Zoning in East Austin Task Force,,Continue or increase the funding of the City Rehabilitation Fund,Council,Financing,Indirect,No,,Implemented: GO Bond Referendum
2002,OCA Audit,Cultural Arts Funding Process Audit,,"To develop more stability in funding for cultural arts, the City Council should direct the City Manager to employ a grant writer within the City organization to pursue grants for cultural arts funding. ", Council,Preserving and growing small businesses and cultural assets,Indirect,No,,
2003,OCA Audit,Rental Housing Development Assistance Audit,,"In order to ensure that accounting for housing-related single-purpose entities is performed fully and timely, the Community Development Officer should continue to strengthen the accounting role for these entities and ensure accountability through continuous monitoring. ",NHCD,Monitoring,Indirect,No,,
2002,Task Force,Gentrification Implications of Historic Zoning in East Austin Task Force,,7. Improve public education - Neighborhoods and schools must be partners in the planning that creates expanded housing opportunities if schools are expected to be able to serve a growing number of students.,Council,Recommendations for planning and approach,Indirect,No,,
2003,OCA Audit,Rental Housing Development Assistance Audit,,"To manage records in an efficient and effective manner, the Community Development Officer should ensure the establishment of a centrally located filing system that includes an indexing system, allows access to any file within a short period of time, and complies with NHCD/AHFC internal policy VII.A.1 for reporting.",NHCD,Recommendations for process improvements,Indirect,No,,
2003,OCA Audit,Rental Housing Development Assistance Audit,,"To ensure that NHCD/AHFC's newly piloted Oracle information management system is effective, the Community Development Officer should monitor deployment of the new system, and ensure that staff is trained to effectively use the system. ",NHCD,Monitoring,Indirect,No,,
2003,OCA Audit,Rental Housing Development Assistance Audit,,The Community Development Officer should continue to ensure that file deficiencies are identified and corrected for all open rental housing contracts still within the affordability period.,NHCD,Monitoring,Indirect,No,,
2003,OCA Audit,Rental Housing Development Assistance Audit,,"In order to more easily manage and monitor the NHCD/AHFC rental housing inventory, the Community Development Officer should ensure that staff responsible for long-term monitoring continue to design, implement, and maintain a system to systematically check contract compliance with lien documents and detect lost or ineligible units. This system should yield:
- the baseline number of rental housing contracts within their affordability period,
- the number of rental units gained and lost each year, and
- the income levels of tenants served by units funded.",NHCD,Monitoring,Indirect,No,,
2003,OCA Audit,Rental Housing Development Assistance Audit,,"In order to efficiently collect documentation about rental housing occupants, the Community Development Officer should ensure that staff responsible for long-term monitoring continue to notify project developers of documentation deadlines for contracts within their affordability period. ",NHCD,Monitoring,Indirect,No,,
2003,OCA Audit,Rental Housing Development Assistance Audit,,"In order to ensure accountable and effective use of housing funds, the Community Development Officer should ensure that loan contracts with Community Development Housing Organizations (CHDOs) specify that acceptable uses and time frames for expenditure of program income realized on City-funded projects and that income be spent on Austin housing development. ",NHCD,Preserving and expanding the supply of affordable housing,Indirect,No,,
2003,OCA Audit,Rental Housing Development Assistance Audit,,"In order to verify loan terms are appropriately enforced, the Community Development Officer should require loan officers to apply the methodology for borrower payoff as stated in the Note, and to document the calculation of those payoffs within project files. ",NHCD,Preserving and expanding the supply of affordable housing,Indirect,No,,
2003,OCA Audit,Rental Housing Development Assistance Audit,,"In order to control complex housing operations throughout the lifecycle of housing projects (from inception through affordability period), the Community Development Officer should assign and align accountability roles according to the recently drafted AHFC Project Underwriting, Development, and Management system.",NHCD,Recommendations for process improvements,Indirect,No,,
2003,OCA Audit,Rental Housing Development Assistance Audit,,"To have the capability to assemble a complete inventory of all funded projects, including those within their affordability period, the community Development Officer should continue efforts to ensure the reliability and completeness of the following information systems within the scope of their designated purpose: Northridge, IDIS, and the long-term monitoring database. In addition, the Community Development Officer should ensure that all future projects from inception through their affordability period, whether funded by federal, state, local, or private funds, are entered into the Oracle database. ",NHCD,Monitoring,Indirect,No,,
2003,OCA Audit,Rental Housing Development Assistance Audit,,"The Community Development Officer should reexamine the current family of performance measures for rental housing development and determine whether those measures appropriately reflect the activities of the program and provide useful information to stakeholders. For example, disaggregating measures by type of project, e.g. construction versus rehabilitation would provide more meaningful information for stakeholders. ",NHCD,Monitoring,Indirect,No,,
2003,OCA Audit,Rental Housing Development Assistance Audit,,"In order to demonstrate that the RHDA program contributes to movement on the housing continuum to a number of beneficiary households, and to further operationalize the continuum concept as a way to evaluate performance results, the Community Development Officer should, in collaboration with RHDA program staff and developers, negotiate a contract in the next calendar year that pilots the collection of data on tenants' housing type and quality prior to becoming housed in an RHDA-funded unit. This requires identifying a developer-partner willing to collect this type of tenant information.",NHCD,Monitoring,Indirect,No,,
2007,OCA Audit,Austin Energy Deferred Payment Agreements Audit,,"In order to reduce DPA errors following the upcoming upgrade of AE's Customer Information System (CIS), the Senior Vice President of Customer Care should communicate the need for data entry verification (e.g., constraints on date fields) to the team developing specifications for the CIS upgrade. ",Austin Energy,Monitoring,Indirect,No,,
2007,OCA Audit,Austin Energy Deferred Payment Agreements Audit,,"In order to improve collection of DPA payments, the Senior Vice President of Customer Care should: 
a) ensure that written notification is sent to a customer who establishes a DPA, and 
b) communicate the need for inclusion of DPA terms, payment amounts, and payment due dates on CIS bills once CIS is upgraded.",Austin Energy,Recommendations for process improvements,Indirect,No,,
2007,OCA Audit,Austin Energy Deferred Payment Agreements Audit,,"In order to ensure that policies are consistent with practices and all DPA documentation is congruent, the Senior Vice President of Customer Care should update their DPA policy to:
a) reflect the number of DPAs a customer can actually receive, and 
b) clarify the requirements related to down payments from customers receiving 24-hour notices.",Austin Energy,Recommendations for process improvements,Indirect,No,,
2007,OCA Audit,Austin Energy Deferred Payment Agreements Audit,,"In order to ensure that DPA policies are appropriate for commercial customers, the Senior Vice President of Customer Care should review data on commercial accounts and develop a separate policy for Commercial DPAs.",Austin Energy,Recommendations for process improvements,Indirect,No,,
2007,OCA Audit,Austin Energy Deferred Payment Agreements Audit,,"In order to increase compliance with the DPA policy, the Senior Vice President of Customer Care should identify appropriate warning messages to display to warn Customer Service Representatives of potential deviations from the DPA policy and communicate these needs to the team developing specifications for the Customer Information System upgrade.",Austin Energy,Recommendations for process improvements,Indirect,No,,
2007,OCA Audit,Austin Energy Deferred Payment Agreements Audit,,"In order to increase compliance with the DPA policy and reduce DPA errors, the Senior Vice President of Customer Care should ensure that managers and supervisors regularly review available reports to identify DPA errors and policy violations and provide necessary coaching to reduce such errors in the future. ",Austin Energy,Monitoring,Indirect,No,,
2006,OCA Audit,City of Austin Long-Term Planning Audit,,"Once a vision has been established, the City Manager should revisit the comprehensive planning process to ensure that the process is set up to implement the vision. The revised process should:
a) ensure that all planning efforts implement the citywide vision; and
b) ensure that all the appropriate elements of comprehensive planning are addressed in the City's planning process.",City Manager,Recommendations for planning and approach,Indirect,No,,
2006,OCA Audit,City of Austin Long-Term Planning Audit,,"In order to provide a complete picture of planning efforts in the City, the City Manager should ensure that City planning documents are made easily available to all stakeholders. This includes:
a) The creation of a summary document that lays out the relationships among plans and their hierarchy; and
b) the consolidation of all plans on the City's website.",City Manager,Monitoring,Indirect,No,,
2006,OCA Audit,City of Austin Long-Term Planning Audit,,"In order to ensure that planning efforts are effectively implementing the desired vision, the City Manager should assign a central oversight group to monitor progress of comprehensive planning efforts on an ongoing basis. This should include utilizing indicators and updating plans to reflect progress. ",City Manager,Monitoring,Indirect,No,,
2009,OCA Audit,E 11th & 12th Street Redevelopment Project Audit,,"In order to ensure that the Redevelopment Project is successful as envisioned in the Master Plan, the City Manager and NHCD director should re-vision the Redevelopment Project, incorporate input from recent plan amendments, and determine the individual steps required to fully implement the Master Plan. ",NHCD,Preserving and growing small businesses and cultural assets,Indirect,No,,
2009,OCA Audit,E 11th & 12th Street Redevelopment Project Audit,,"In order to ensure that the goals of the Redevelopment Project as envisioned in the Master Plan and the Urban Renewal Plan are met, the City Manager and NHCD director should ensure that a detailed implementation plan that outlines the steps to be taken is created. ",NHCD,Preserving and growing small businesses and cultural assets,Indirect,No,,
2009,OCA Audit,E 11th & 12th Street Redevelopment Project Audit,,"In order to ensure that all partners in the Redevelopment Project understand their roles within the Redevelopment Project, the City Manager and the NHCD director should ensure that all contracts and associated agreements are updated to clearly define the roles and responsibilities of each of the partners, especially with regard to providing leadership and development of implementation plans.",NHCD,Preserving and growing small businesses and cultural assets,Indirect,No,,
2009,OCA Audit,E 11th & 12th Street Redevelopment Project Audit,,"In order to ensure the success of the Redevelopment Project, the City Manager should appoint a project champion at the Executive CMO level who is tasked with overseeing the Redevelopment Project implementation plan and ensuring that necessary resources (including those from other city departments) and oversight are provided. ",NHCD,Preserving and growing small businesses and cultural assets,Indirect,No,,
2009,OCA Audit,E 11th & 12th Street Redevelopment Project Audit,,"In order to ensure that NHCD properly manages the Redevelopment Plan as a whole, the City Manager should ensure that a project coordinator at NHCD is tasked with monitoring and ensuring that the Redevelopment Project implementation plan is properly executed. ",NHCD,Monitoring,Indirect,No,,
2009,OCA Audit,E 11th & 12th Street Redevelopment Project Audit,,"In order to further protect the City's investment in the Redevelopment Area and its current financial resources, the City Manager should evaluate redevelopment options and associated financial risks prior to entering into new contractual agreements for the Redevelopment Project. ",NHCD,Preserving and growing small businesses and cultural assets,Indirect,No,,
2009,OCA Audit,E 11th & 12th Street Redevelopment Project Audit,,"In order to ensure that all parties are meeting the goal of providing individual redevelopment projects that are acceptable to the citizens most affected, the City Manager and the NHCD director should clarify or modify the expectations for ARA's self-sufficiency.",NHCD,Preserving and growing small businesses and cultural assets,Indirect,No,,
2017,Task Force, Mayor's Task Force on Institutional Racism and Systematic Inequities Report,,"2.2.2 Using public-owned property to build new land-banked and land trust homes for low-income former East Austin residents of color who want to return, including a variety of housing including manufactured, mobile, modular and tiny homes. RECA in ""Public Land Use in Austin"" noted that Austin in October 2016 took steps to coordinate an approach between local jurisdictions to make surplus property available for public housing.",Council,Controlling land for community development,Indirect,No,,Not Implemented
2017,Task Force, Mayor's Task Force on Institutional Racism and Systematic Inequities Report,,"1.1.12 Stipends, loan forgiveness, and grants as incentives specifically targeting teachers and faculty of color.",Council,Financing,Direct,No,Not actionable,
2017,Task Force, Mayor's Task Force on Institutional Racism and Systematic Inequities Report,,2.1 We first recommend that the City of Austin develop a local dedicated fund to carry out a comprehensive program to redress institutional racism in Austin real estate and housing.,Council,Financing,Indirect,No,,
2017,Task Force, Mayor's Task Force on Institutional Racism and Systematic Inequities Report,,"2.1.1 We recommend a mandatory linkage fee to fund creating and preserving substantial affordable housing, based on the Denver model. Based on current projections and 2015 data, if Austin were to implement a linkage fee of $2 per square foot, it could raise $60 million annually for the fund, which could create 400 housing units at $150,000 each.",Council,Financing,Direct,No,Not actionable,"Cannot be implemented.                                   
 State legislation passed in 2017 prohibiting municipalities from instituting linkage fees."
2017,Task Force, Mayor's Task Force on Institutional Racism and Systematic Inequities Report,,2.1.2 We believe that Austin must set a goal of $600 million for this fund over a ten-year period (Based on the amount recommended just above) if we are to make progress in the area of inclusion in our great city.,Council,Financing,Indirect,No,,Not applicable
2017,Task Force, Mayor's Task Force on Institutional Racism and Systematic Inequities Report,,"2.1.4 We also recommend the Mayor's Strike Fund, which is in the process of raising private funds to purchase market rate but deteriorated housing, particularly in high opportunity areas, remodel it, and offer the improved housing to lower-income families, particularly families of color. ",Council,Financing,Indirect,No,,
2017,Task Force, Mayor's Task Force on Institutional Racism and Systematic Inequities Report,,2.3.4 Develop a plan to conduct and fund regular matched pair housing discrimination testing to root out discrimination in Austin's private rental and sales markets. Take enforcement actions against violators uncovered through testing.,Council,Financing,Indirect,No,,
2017,Task Force, Mayor's Task Force on Institutional Racism and Systematic Inequities Report,,"2.1.3 We further recommend that uses of the fund be recommended by a special entity, based on the Denver model. The City of Denver set up a new Housing Advisory Committee to provide essential strategic input on uses of the dedicated fund: https://www.denvergov.org/content/denvergov/en/denver-office-of-economic-development/housing-neighborhoods/HousingAdvisoryCommittee.html",Council,Recommendations for planning and approach,Indirect,No,,Not applicable
2017,Task Force, Mayor's Task Force on Institutional Racism and Systematic Inequities Report,,"2.1.5 The dedicated fund for affordable housing can and should draw on multiple sources of funding, including TIFs, federal funding, tax policy, incentive programs, fee waivers, Homestead Preservation Districts, private funds, foundations, housing bonds, and revenue from the sale of public land. We recommend a Tax Increment Financing (TIF) program be started in existing Homestead Preservation Districts and the subsequent funds be used in the district which raised the funds for the preservation of existing affordable housing. ",Council,Recommendations for planning and approach,Indirect,No,,Partially Implemented
2017,Task Force, Mayor's Task Force on Institutional Racism and Systematic Inequities Report,,2.2 We call upon the City of Austin to not only recognize but also redress racial injustices created and sustained by city policy through creation of a comprehensive program to combat systemic racial inequities in Austin real estate and housing.,Council,Recommendations for planning and approach,Indirect,No,,
2017,Task Force, Mayor's Task Force on Institutional Racism and Systematic Inequities Report,,"2.2.1 Adopt an Austin version of Portland's criteria for bringing former residents back to gentrified areas. ""People displaced or at risk of displacement from the study area will have priority access to housing developed through this initiative. Similar policies have been implemented in New York, Massachusetts, California, as well as Home Forward here in Portland. The Bureau has been and will continue to work the with the City Attorney's office and the Office of Equity and Human Rights to develop this program's mechanics."" See https://www.portlandoregon.gov/phb/article/517174 The City of New York also has a “right to remain or return” policy. Austin’s own Guadalupe Neighborhood Development Corporation (GNDC) is the only remaining CDC in Austin that is trying to and actually bringing former East Austinites back home through targeting people who are former residents or East Austin. ",Council,Recommendations for planning and approach,Indirect,No,,Not Implemented
2017,Task Force, Mayor's Task Force on Institutional Racism and Systematic Inequities Report,,2.2.4 Ensure that the inventory of new affordable housing construction strikes an appropriate balance between households with children and singles. ,Council,Recommendations for planning and approach,Indirect,No,,Not Implemented
2017,Task Force, Mayor's Task Force on Institutional Racism and Systematic Inequities Report,,"2.3.1 Adopt the online application being developed for the City of Portland, OR that lists all available affordable units in one location accessible to the target populations such as health clinics and community centers. This data base would include unit size, number of bedrooms, bathrooms, rent and other fees. The current density bonus units of affordable housing are spread over town in many projects, and the target population cannot know where to look for or find an affordable unit even if one is available. It is also probable that apartment owners do not actively seek the target populations. ",Council,Recommendations for planning and approach,Indirect,No,,Partially Implemented
2017,Task Force, Mayor's Task Force on Institutional Racism and Systematic Inequities Report,,"2.3.3 Define ""Affordable Housing"" for projects supported by the new fund as incomes of 50% or less Median Family Income (MFI) for home ownership, and families or seniors with incomes of 30% MFI for rentals. This would apply only to projects or programs with local and private funding, not federal.",Council,Recommendations for planning and approach,Indirect,No,,Not Implemented
2017,Task Force, Mayor's Task Force on Institutional Racism and Systematic Inequities Report,,2.3.6 Incentivize the development of mixed-income rental housing developments rather than 100% low-income and 0% low-income housing developments.,Council,Recommendations for planning and approach,Indirect,No,,Implemented. S.M.A.R.T Housing and Density Bonus Program http://austintexas.gov/page/development-incentives-and-agreements
2017,Task Force, Mayor's Task Force on Institutional Racism and Systematic Inequities Report,,2.3.7 Work with neighboring governmental jurisdictions to adopt a new region-wide Fair Housing Plan following the new standards established by HUD in 2016.,Council,Recommendations for planning and approach,Indirect,No,,Partially Implemented
2017,Task Force, Mayor's Task Force on Institutional Racism and Systematic Inequities Report,,2.3.8 Carry out a regional public information campaign to educate on segregation and fair housing issues.,Council,Recommendations for planning and approach,Indirect,No,,Not Implemented
2017,Task Force, Mayor's Task Force on Institutional Racism and Systematic Inequities Report,,"2.4.6 We recommend the following provisions of the right to stay be included in CodeNEXT:
- Ensure there are effective avenues for resident involvement in decisions regarding increased non-residential uses permitted in residential areas or expanded approval by staff in addition to commissions or Council.
- Ensure that any projects that receive City of Austin funding do not offer exclusively market rate housing.
- Encourage modular/manufactured/mobile/tiny homes affordable to workforce families.
- Ensure that no one funding model, such as voluntary density bonuses, is embedded in the new code, but rather than development is open to a variety of models, including those suggested in this report.",Council,Recommendations for planning and approach,Indirect,No,,
2017,Task Force, Mayor's Task Force on Institutional Racism and Systematic Inequities Report,,"2.5.2 The City of Austin should consider allowing alternate bidding processes for the use of housing dollars, for example, allocating funds to different areas of the city. Have applicants bid for dollars based on geographic areas to produce the most units meeting the required criteria. If there is money left after the first place bidder, allocate the next dollars to the second and so on. The current model makes an assumption that residents want to escape low opportunity areas and/or that the resident wants help relocating. ",Council,Recommendations for planning and approach,Indirect,No,,Not Implemented
2017,Task Force, Mayor's Task Force on Institutional Racism and Systematic Inequities Report,,"2.6.3 Market housing, both renter and owner-occupied, to people of color in both gentrifying neighborhoods and in traditionally segregated white neighborhoods. Tie together housing, transit, jobs, and schools to result in thriving communities.",Council,Recommendations for planning and approach,Indirect,No,,
2017,Task Force, Mayor's Task Force on Institutional Racism and Systematic Inequities Report,,"2.6.5 Enforce Fair Housing laws, which in Austin today are, for all practical purposes, ignored. The City must aggressively root out all vestiges of housing discrimination through law enforcement actions based on a widespread program of testing and prosecution using the only effective fair housing enforcement technique - matched pair testing. ",Council,Recommendations for planning and approach,Indirect,No,,
2017,Task Force, Mayor's Task Force on Institutional Racism and Systematic Inequities Report,,"2.7.4 Through both legislative advocacy and through the courts, defend Austin's right to enact policies and ordinances to combat residential segregation and to support ""integration, diversity, and inclusion of everyone"". Start by mounting aggressive challenges to State of Texas legislative actions infringing on Austin's ability to use inclusionary zoning, linkage fees, and prohibition of source of income fair housing protection. ",Council,Recommendations for planning and approach,Indirect,No,,
2017,Task Force, Mayor's Task Force on Institutional Racism and Systematic Inequities Report,,"3.1.4 Planning for communities to stay and flourish. Any interventions to improve resources, access, and health will, if left to market forces, result in displacement. Thus, any geographical interventions must be made with a deliberate strategy to ensure communities enjoy the fruits of the interventions. ""Right to stay"" should be a key part of neighborhood revitalizations.",Council,Recommendations for planning and approach,Indirect,No,,
2017,Task Force, Mayor's Task Force on Institutional Racism and Systematic Inequities Report,,"2.6.4 Initiatives to support existing lower income residents through affordable and safe ways to access home equity without selling, and for mitigating the impact of increasing property taxes.",Council,Preserving and expanding the supply of affordable housing,Indirect,No,,
2017,Task Force, Mayor's Task Force on Institutional Racism and Systematic Inequities Report,,"2.3.10 Develop assessments of existing conditions and goals for affordability, diversity, and inclusion for each Austin neighborhood. Provide incentives in CIP funding and code protections to encourage residents of those neighborhoods to develop and carry-out initiatives to achieve neighborhood affordability, diversity, and inclusion goals. ",Council,Preserving and expanding the supply of affordable housing,Indirect,No,,Partially Implemented
2017,Task Force, Mayor's Task Force on Institutional Racism and Systematic Inequities Report,,2.3.5 Support Austin Housing Authority's Section 8 mobility initiative to assist households with housing vouchers to find housing outside traditional racially and economically segregated neighborhoods.,Council,Preserving and expanding the supply of affordable housing,Indirect,No,,Partially Implemented
2017,Task Force, Mayor's Task Force on Institutional Racism and Systematic Inequities Report,,"1.1.2 Housing allowance or designated housing for entry level teachers, and/or tax breaks for faculty and administrators.",Council,Preserving and expanding the supply of affordable housing,Direct,No,Not actionable,
2017,Task Force, Mayor's Task Force on Institutional Racism and Systematic Inequities Report,,"2.4.4 Continue the home repair programs for homeowners that Austin currently runs, but also create home repair programs to enable elderly and disabled district homeowners to receive needed repairs without clear legal title, and a legal program to help clear titles on many-generations owned properties (one of our Work Group members has already begun work on creating such a program free to qualified homeowners). ",Council,Preserving and expanding the supply of affordable housing,Direct,No,Actionable,Partially Implemented
