State,"Change in Total Homelessness, 2019-2020","Change in Total Homelessness, 2018-2020","Change in Total Homelessness, 2017-2020","Change in Total Homelessness, 2016-2020","Change in Total Homelessness, 2015-2020","Change in Total Homelessness, 2014-2020","Change in Total Homelessness, 2013-2020","Change in Total Homelessness, 2012-2020","Change in Total Homelessness, 2011-2020","Change in Total Homelessness, 2010-2020","Change in Total Homelessness, 2009-2020","Change in Total Homelessness, 2008-2020","Change in Total Homelessness, 2007-2020"
MO,5.6%,10.9%,8.1%,5.4%,0.7%,-10.4%,-23.9%,-36.2%,-27.4%,-19.6%,-6.2%,-15.1%,4.5%
MP,-33.2%,15.6%,79.6%, , , , , , , , , , 
MS,-6.5%,-18.1%,-24.8%,-36.3%,-44.2%,-50.3%,-53.9%,-54.1%,-52.0%,-59.6%,-60.4%,-43.5%,-19.6%
MT,13.9%,10.0%,1.0%,9.0%,-9.6%,-11.5%,-17.7%,-15.7%,-12.6%,-4.3%,29.2%,9.0%,34.3%
NC,-0.4%,0.1%,3.5%,-2.9%,-13.1%,-19.2%,-23.7%,-31.4%,-28.0%,-23.9%,-28.2%,-25.2%,-21.4%
ND,-2.9%,-0.2%,-50.3%,-41.4%,-58.5%,-57.0%,-73.9%,-21.4%,-10.3%,-32.3%,-30.0%,-12.0%,-14.9%
NE,1.6%,-0.7%,-3.9%,-12.7%,-12.4%,-20.6%,-23.6%,-36.6%,-32.2%,-38.0%,-35.3%,-39.7%,-31.9%
NH,20.0%,15.5%,15.0%,22.6%,15.9%,21.7%,15.8%,12.0%,14.0%,6.4%,1.8%,-17.0%,-25.5%
NJ,9.0%,2.8%,13.2%,8.6%,-4.3%,-17.2%,-19.5%,-25.8%,-31.7%,-29.7%,-26.6%,-30.1%,-44.2%
NM,2.8%,30.7%,34.3%,47.3%,26.8%,21.4%,18.2%,2.7%,-7.4%,-4.1%,-4.1%,10.5%,10.5%
NV,-3.8%,-8.5%,-11.9%,-6.7%,-21.1%,-19.6%,-2.0%,-18.8%,-24.6%,-38.4%,-37.8%,-20.9%,-20.2%
NY,-0.9%,-0.7%,2.0%,5.7%,3.4%,13.3%,17.9%,31.2%,43.9%,39.1%,49.5%,49.3%,45.8%
OH,3.0%,4.0%,5.5%,2.4%,-4.7%,-9.9%,-13.5%,-23.8%,-18.2%,-15.2%,-16.1%,-17.5%,-5.4%
OK,-0.3%,1.6%,-6.4%,-4.3%,4.1%,-6.2%,-10.8%,-21.9%,-15.0%,-24.8%,-18.7%,2.2%,-6.8%
OR,-7.7%,1.2%,5.0%,10.7%,10.8%,20.5%,6.0%,-7.4%,-15.1%,-24.8%,-15.3%,-29.0%,-16.7%
PA,1.3%,-1.0%,-5.4%,-12.8%,-13.3%,-12.8%,-11.3%,-9.2%,-11.4%,-7.9%,-11.4%,-13.0%,-17.5%
PR,-3.3%,-23.0%,-30.5%,-44.5%,-45.8%,-40.7%,-40.6%,-23.7%,-15.5%,-40.9%,-39.8%,-18.6%,-43.1%
RI,4.6%,0.3%,-6.4%,-4.8%,-0.6%,-7.2%,-20.2%,-13.5%,3.2%,-13.9%,-31.3%,-7.7%,-19.5%
SC,2.8%,9.0%,9.5%,-15.1%,-19.9%,-15.2%,-34.5%,-12.8%,-15.8%,-4.2%,-4.2%,-24.3%,-24.3%
SD,6.3%,-8.7%,12.2%,-1.3%,2.1%,19.5%,-3.3%,23.2%,28.1%,44.7%,44.7%,82.7%,82.7%
TN,-2.8%,-8.0%,-12.7%,-17.3%,-20.5%,-22.9%,-23.8%,-23.0%,-20.4%,-29.4%,-31.1%,-25.2%,-35.3%
TX,5.3%,7.6%,15.6%,17.8%,15.0%,-4.4%,-8.1%,-20.0%,-26.2%,-22.5%,-25.9%,-32.2%,-31.6%
UT,11.9%,8.9%,9.8%,11.5%,3.5%,1.6%,-4.5%,-11.2%,0.0%,-4.7%,-17.5%,-8.8%,4.0%
VA,3.0%,-0.3%,-1.8%,-5.0%,-14.9%,-15.1%,-21.9%,-29.3%,-32.4%,-34.4%,-32.7%,-29.7%,-38.9%
VI,-3.2%,-37.4%,-20.2%,-10.9%,-9.8%,-32.1%,-36.9%,-37.2%,-42.9%,-37.6%,-35.5%,-49.5%,-45.6%
VT,1.9%,-14.0%,-9.4%,-0.6%,-27.1%,-28.8%,-23.7%,-4.3%,-3.0%,-9.0%,-8.6%,16.4%,7.2%
WA,6.2%,2.8%,8.6%,10.1%,18.0%,24.3%,29.1%,11.8%,12.2%,0.2%,0.6%,4.4%,-2.0%
WI,-0.5%,-8.0%,-10.2%,-20.6%,-25.5%,-25.4%,-26.0%,-25.1%,-22.0%,-28.7%,-30.8%,-17.1%,-20.1%
WV,-4.0%,7.9%,2.4%,-3.3%,-26.9%,-33.4%,-40.1%,-44.4%,-39.3%,-40.8%,-19.6%,-33.5%,-44.3%
WY,11.7%,-4.2%,-29.9%,-28.6%,-23.3%,-19.2%,-35.8%,-66.2%,-41.0%,5.7%,18.8%,-18.5%,14.0%
Total,2.2%,5.0%,5.3%,5.6%,2.8%,0.7%,-1.7%,-6.6%,-6.9%,-8.9%,-7.9%,-9.3%,-10.3%
